"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","correct","iat_type","rand","key_e3","key_i3","key_e34","key_i34","key_e67","key_i67"
"true","false","[]","[]","[]","preload","0","669","0.0-0.0","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","4033","0.0-1.0","3362","<p>Welcome to the Implicit Association Test (IAT).</p><p>Press any key to begin.</p>"," ","","","","","","","","",""
"","","","","","html-keyboard-response","2","33222","0.0-2.0","27685","<p>You will use the ""e"" and ""i"" computer keys to categorize items into groups as fast as you can. These are the four groups and the items that belong to each:<br><br><strong>Good</strong>:<br>Enjoy, Smiling, Glorious, Beautiful, Fantastic, Friend, Cheer, Joyous<br><br><strong>Bad</strong>:<br>Awful, Bothersome, Pain, Nasty, Hurtful, Rotten, Evil, Annoy<br><br><strong>African Americans</strong>:<br><img src='img/black/b1.png'></img>  <img src='img/black/b2.png'></img>  <img src='img/black/b3.png'></img>  <img src='img/black/b4.png'></img>  <img src='img/black/b5.png'></img>  <img src='img/black/b6.png'></img><br><br><strong>European Americans</strong>:<br><img src='img/white/w1.png'></img>  <img src='img/white/w2.png'></img>  <img src='img/white/w3.png'></img>  <img src='img/white/w4.png'></img>  <img src='img/white/w5.png'></img>  <img src='img/white/w6.png'></img><br><br>There are seven parts. The instructions change for each part. Pay attention!<br><br>Press any key to continue.</p>"," ","","","","","","","","",""
"","","","","","html-keyboard-response","3","62307","0.0-3.0","27576","<div style='position: absolute; top: 18%; left: 20%'><p>Press e for:<br><strong>European Americans</strong></p></div><div style='position: absolute; top: 18%; right: 20%'><p>Press i for:<br><strong>African Americans</strong></p></div><div style='position: relative; top: 42%; margin-left: auto; margin-right: auto'>Put a left finger on the <strong>e</strong> key for items that belong to the European Americans People category. Put a right finger on the <strong>i</strong> key for items that belong to the African Americans People category. Items will appear one at a time.<br><br>If you make a mistake, a red X will appear. Press the keys listed below to continue. Go as fast as you can while being accurate.<br><br> Press the any key when you are ready to start.</div>"," ","","","","","","","","",""
"","","","","","iat-image","4","64830","0.0-4.0-0.0","2516","img/black/b2.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","5","65716","0.0-4.0-0.1","883","img/white/w5.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","6","66520","0.0-4.0-0.2","799","img/white/w3.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","7","67225","0.0-4.0-0.3","702","img/white/w1.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","8","67977","0.0-4.0-0.4","752","img/black/b5.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","9","68786","0.0-4.0-0.5","806","img/black/b1.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","10","69528","0.0-4.0-0.6","739","img/black/b4.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","11","70324","0.0-4.0-0.7","794","img/black/b3.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","12","71040","0.0-4.0-0.8","713","img/white/w4.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","13","71739","0.0-4.0-0.9","696","img/white/w6.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","14","72526","0.0-4.0-0.10","780","img/black/b6.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","15","73305","0.0-4.0-0.11","777","img/white/w2.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","16","74077","0.0-4.0-0.12","769","img/black/b3.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","17","74900","0.0-4.0-0.13","819","img/black/b6.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","18","75575","0.0-4.0-0.14","673","img/black/b4.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","19","76413","0.0-4.0-0.15","835","img/white/w1.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","20","77182","0.0-4.0-0.16","766","img/white/w6.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","21","77980","0.0-4.0-0.17","796","img/black/b2.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","22","78794","0.0-4.0-0.18","813","img/white/w5.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","23","79577","0.0-4.0-0.19","780","img/white/w4.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","24","80316","0.0-4.0-0.20","737","img/black/b1.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","25","81125","0.0-4.0-0.21","807","img/black/b5.png","i","true","practice","1","","","","","",""
"","","","","","iat-image","26","81887","0.0-4.0-0.22","759","img/white/w3.png","e","true","practice","1","","","","","",""
"","","","","","iat-image","27","82670","0.0-4.0-0.23","782","img/white/w2.png","e","true","practice","1","","","","","",""
"","","","","","html-keyboard-response","28","88217","0.0-5.0","5545","<div style='position: absolute; top: 18%; left: 20%'>Press E for:<br><strong>BAD</strong></div><div style='position: absolute; top: 18%; right: 20%'>Press I for:<br><strong>GOOD</strong></div><div style='position: relative; top: 42%; margin-left: auto; margin-right: auto'>Put a left finger on the <strong>e</strong> key for items that belong to the BAD category. Put a right finger on the <strong>i</strong> key for items that belong to the GOOD category. Items will appear one at a time.<br><br>If you make a mistake, a red X will appear. Press the keys listed below to continue. Go as fast as you can while being accurate.<br><br> Press the any key when you are ready to start.</div>"," ","","","","","","","","",""
"","","","","","iat-html","29","90006","0.0-6.0-0.0","1786","Fantastic","i","true","practice","","","","","","",""
"","","","","","iat-html","30","90873","0.0-6.0-0.1","865","Evil","e","true","practice","","","","","","",""
"","","","","","iat-html","31","91686","0.0-6.0-0.2","812","Hurtful","e","true","practice","","","","","","",""
"","","","","","iat-html","32","92610","0.0-6.0-0.3","923","Enjoy","i","true","practice","","","","","","",""
"","","","","","iat-html","33","94450","0.0-6.0-0.4","1839","Annoy","e","true","practice","","","","","","",""
"","","","","","iat-html","34","95371","0.0-6.0-0.5","920","Glorious","i","true","practice","","","","","","",""
"","","","","","iat-html","35","96532","0.0-6.0-0.6","1161","Cheer","i","true","practice","","","","","","",""
"","","","","","iat-html","36","97367","0.0-6.0-0.7","835","Nasty","e","true","practice","","","","","","",""
"","","","","","iat-html","37","98579","0.0-6.0-0.8","1211","Joyous","i","true","practice","","","","","","",""
"","","","","","iat-html","38","99765","0.0-6.0-0.9","1186","Pain","e","true","practice","","","","","","",""
"","","","","","iat-html","39","100953","0.0-6.0-0.10","1186","Beautiful","i","true","practice","","","","","","",""
"","","","","","iat-html","40","101855","0.0-6.0-0.11","900","Friend","i","true","practice","","","","","","",""
"","","","","","iat-html","41","102678","0.0-6.0-0.12","822","Rotten","e","true","practice","","","","","","",""
"","","","","","iat-html","42","103546","0.0-6.0-0.13","867","Bothersome","e","true","practice","","","","","","",""
"","","","","","iat-html","43","106087","0.0-6.0-0.14","997","Awful","i","false","practice","","","","","","",""
"","","","","","iat-html","44","107312","0.0-6.0-0.15","1224","Smiling","i","true","practice","","","","","","",""
"","","","","","iat-html","45","108283","0.0-6.0-0.16","970","Nasty","e","true","practice","","","","","","",""
"","","","","","iat-html","46","109205","0.0-6.0-0.17","921","Rotten","e","true","practice","","","","","","",""
"","","","","","iat-html","47","110623","0.0-6.0-0.18","1417","Annoy","e","true","practice","","","","","","",""
"","","","","","iat-html","48","111719","0.0-6.0-0.19","1094","Awful","e","true","practice","","","","","","",""
"","","","","","iat-html","49","112533","0.0-6.0-0.20","814","Evil","e","true","practice","","","","","","",""
"","","","","","iat-html","50","113532","0.0-6.0-0.21","998","Joyous","i","true","practice","","","","","","",""
"","","","","","iat-html","51","114477","0.0-6.0-0.22","941","Enjoy","i","true","practice","","","","","","",""
"","","","","","iat-html","52","115342","0.0-6.0-0.23","865","Glorious","i","true","practice","","","","","","",""
"","","","","","iat-html","53","116271","0.0-6.0-0.24","928","Smiling","i","true","practice","","","","","","",""
"","","","","","iat-html","54","117197","0.0-6.0-0.25","925","Bothersome","e","true","practice","","","","","","",""
"","","","","","iat-html","55","118280","0.0-6.0-0.26","1080","Friend","i","true","practice","","","","","","",""
"","","","","","iat-html","56","119197","0.0-6.0-0.27","915","Pain","e","true","practice","","","","","","",""
"","","","","","iat-html","57","120282","0.0-6.0-0.28","1083","Beautiful","i","true","practice","","","","","","",""
"","","","","","iat-html","58","122299","0.0-6.0-0.29","2017","Fantastic","i","true","practice","","","","","","",""
"","","","","","iat-html","59","123137","0.0-6.0-0.30","836","Hurtful","e","true","practice","","","","","","",""
"","","","","","iat-html","60","124060","0.0-6.0-0.31","921","Cheer","i","true","practice","","","","","","",""
"","","","","","html-keyboard-response","61","134799","0.0-7.0","10738","<div style='position: absolute; top: 18%; left: 20%'>Press e for:<br> <strong>European Americans</strong><br>or<br><strong>BAD</strong></div><div style='position: absolute; top: 18%; right: 20%'>Press i for:<br><strong>African Americans</strong><br>or<br><strong>GOOD</strong></div><div style='position: relative; top: 42%; margin-left: auto; margin-right: auto'>Use <strong>e</strong> for European Americans or BAD. Use <strong>i</strong> for African Americans or GOOD <br>Each item belongs to only one category.<br><br>If you make a mistake, a red X will appear. Press the keys listed below to continue. Go as fast as you can while being accurate.<br><br> Press any key when you are ready to start.</div>"," ","","","","","","","","",""
"","","","","","iat-html","62","136921","0.0-8.0-0.0","2120","<img src=img/black/b5.png></img>","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","63","137854","0.0-8.0-0.1","930","<img src=img/white/w2.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","64","138660","0.0-8.0-0.2","803","Annoy","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","65","139616","0.0-8.0-0.3","953","<img src=img/black/b2.png></img>","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","66","140552","0.0-8.0-0.4","935","Hurtful","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","67","141487","0.0-8.0-0.5","933","Awful","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","68","142502","0.0-8.0-0.6","1013","<img src=img/black/b1.png></img>","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","69","143924","0.0-8.0-0.7","1422","Friend","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","70","144827","0.0-8.0-0.8","902","<img src=img/white/w1.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","71","146438","0.0-8.0-0.9","1610","Glorious","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","72","147280","0.0-8.0-0.10","840","Cheer","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","73","148598","0.0-8.0-0.11","1316","Enjoy","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","74","150080","0.0-8.0-0.12","1479","Rotten","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","75","151354","0.0-8.0-0.13","1273","Nasty","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","76","153607","0.0-8.0-0.14","928","<img src=img/black/b6.png></img>","e","false","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","77","155058","0.0-8.0-0.15","1450","<img src=img/white/w5.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","78","155935","0.0-8.0-0.16","875","<img src=img/white/w6.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","79","157001","0.0-8.0-0.17","1064","<img src=img/white/w3.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","80","157926","0.0-8.0-0.18","924","<img src=img/black/b4.png></img>","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","81","159416","0.0-8.0-0.19","1489","Fantastic","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","82","160341","0.0-8.0-0.20","924","Evil","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","83","161242","0.0-8.0-0.21","900","Pain","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","84","162418","0.0-8.0-0.22","1176","Beautiful","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","85","163485","0.0-8.0-0.23","1066","Smiling","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","86","165134","0.0-8.0-0.24","1648","Bothersome","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","87","166289","0.0-8.0-0.25","1153","<img src=img/black/b3.png></img>","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","88","167151","0.0-8.0-0.26","859","<img src=img/white/w4.png></img>","e","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","iat-html","89","168126","0.0-8.0-0.27","974","Joyous","i","true","practice","","European Americans or BAD","African Americans or GOOD","","","",""
"","","","","","html-keyboard-response","90","174633","0.0-9.0","6506","<div style='position: absolute; top: 18%; left: 20%'>Press e for:<br> <strong>European Americans</strong><br>or<br><strong>BAD</strong></div><div style='position: absolute; top: 18%; right: 20%'>Press i for:<br><strong>African Americans</strong><br>or<br><strong>GOOD</strong></div><div style='position: relative; top: 42%; margin-left: auto; margin-right: auto'>Use <strong>e</strong> for European Americans or BADUse <strong>i</strong> for African Americans or GOOD <br>Each item belongs to only one category.<br><br>If you make a mistake, a red X will appear. Press the keys listed below to continue. Go as fast as you can while being accurate.<br><br> Press any key when you are ready to start.</div>"," ","","","","","","","","",""
